year,month,median_difference,lower_95a,upper_95a,lower_95b,upper_95b,lower_95c,upper_95c,lower_95d,upper_95d,lower_95e,upper_95e
1860,2,-0.431,-0.487,-0.371,-0.603,-0.259,-0.803,-0.059,-0.615,-0.249,-0.847,-0.018
1860,3,-0.649,-0.722,-0.601,-0.82,-0.479,-0.965,-0.333,-0.836,-0.473,-1.018,-0.289
1860,4,-0.345,-0.404,-0.276,-0.514,-0.177,-0.565,-0.125,-0.525,-0.165,-0.629,-0.061
1860,5,-0.3,-0.374,-0.255,-0.473,-0.127,-0.535,-0.066,-0.486,-0.12,-0.6,-0.005
1860,6,-0.308,-0.383,-0.255,-0.486,-0.131,-0.519,-0.097,-0.5,-0.123,-0.594,-0.029
1860,7,-0.115,-0.18,-0.065,-0.282,0.051,-0.316,0.086,-0.294,0.057,-0.384,0.149
1860,8,-0.193,-0.253,-0.139,-0.355,-0.03,-0.481,0.096,-0.365,-0.023,-0.529,0.142
1860,9,-0.224,-0.275,-0.168,-0.395,-0.053,-0.501,0.053,-0.402,-0.041,-0.552,0.109
1860,10,-0.197,-0.261,-0.142,-0.367,-0.027,-0.446,0.052,-0.383,-0.021,-0.509,0.106
1860,11,-0.508,-0.573,-0.452,-0.674,-0.342,-0.77,-0.246,-0.687,-0.333,-0.826,-0.194
1860,12,-0.753,-0.833,-0.692,-0.928,-0.577,-1.108,-0.398,-0.946,-0.571,-1.159,-0.356
1861,1,-0.9,-0.967,-0.835,-1.074,-0.727,-1.334,-0.467,-1.088,-0.715,-1.374,-0.43
1861,2,-0.526,-0.597,-0.456,-0.696,-0.356,-1.02,-0.031,-0.711,-0.342,-1.055,0.001
1861,3,-0.468,-0.562,-0.409,-0.659,-0.277,-0.872,-0.064,-0.68,-0.267,-0.926,-0.019
1861,4,-0.4,-0.473,-0.333,-0.598,-0.202,-0.659,-0.141,-0.612,-0.189,-0.735,-0.066
1861,5,-0.768,-0.862,-0.707,-0.968,-0.569,-1.021,-0.515,-0.981,-0.556,-1.098,-0.437
1861,6,-0.187,-0.279,-0.125,-0.365,-0.01,-0.44,0.065,-0.382,0.003,-0.506,0.129
1861,7,-0.212,-0.302,-0.139,-0.381,-0.043,-0.462,0.038,-0.393,-0.024,-0.519,0.102
1861,8,-0.099,-0.17,-0.045,-0.275,0.077,-0.406,0.208,-0.29,0.083,-0.462,0.257
1861,9,-0.335,-0.399,-0.271,-0.508,-0.161,-0.64,-0.03,-0.52,-0.148,-0.691,0.023
1861,10,-0.357,-0.431,-0.311,-0.531,-0.184,-0.655,-0.06,-0.551,-0.179,-0.715,-0.014
1861,11,-0.426,-0.493,-0.377,-0.599,-0.252,-0.745,-0.107,-0.617,-0.245,-0.8,-0.061
1861,12,-0.268,-0.36,-0.192,-0.442,-0.094,-0.675,0.14,-0.46,-0.081,-0.719,0.179
1862,1,-0.753,-0.83,-0.681,-0.94,-0.566,-1.293,-0.214,-0.959,-0.556,-1.334,-0.182
1862,2,-0.785,-0.86,-0.71,-0.976,-0.594,-1.378,-0.192,-0.995,-0.583,-1.416,-0.161
1862,3,-0.404,-0.481,-0.349,-0.595,-0.214,-0.79,-0.019,-0.614,-0.207,-0.846,0.026
1862,4,-0.247,-0.315,-0.172,-0.44,-0.054,-0.498,0.004,-0.453,-0.039,-0.571,0.079
1862,5,-0.233,-0.307,-0.179,-0.41,-0.055,-0.473,0.008,-0.422,-0.044,-0.538,0.074
1862,6,-0.341,-0.413,-0.279,-0.516,-0.166,-0.563,-0.118,-0.527,-0.155,-0.631,-0.051
1862,7,-0.34,-0.413,-0.282,-0.519,-0.16,-0.576,-0.103,-0.533,-0.153,-0.646,-0.04
1862,8,-0.699,-0.777,-0.642,-0.873,-0.526,-0.997,-0.401,-0.889,-0.519,-1.055,-0.353
1862,9,-0.418,-0.477,-0.36,-0.59,-0.247,-0.723,-0.114,-0.6,-0.234,-0.772,-0.061
1862,10,-0.426,-0.51,-0.362,-0.601,-0.25,-0.768,-0.083,-0.619,-0.24,-0.82,-0.037
1862,11,-0.765,-0.843,-0.716,-0.954,-0.577,-1.136,-0.394,-0.973,-0.57,-1.193,-0.348
1862,12,-0.894,-0.989,-0.811,-1.079,-0.708,-1.325,-0.462,-1.1,-0.695,-1.374,-0.42
1863,1,0.128,0.063,0.196,-0.066,0.323,-0.404,0.661,-0.078,0.335,-0.443,0.699
1863,2,-0.029,-0.097,0.043,-0.228,0.171,-0.587,0.53,-0.245,0.181,-0.63,0.566
1863,3,-0.367,-0.442,-0.311,-0.561,-0.173,-0.758,0.025,-0.574,-0.162,-0.81,0.074
1863,4,-0.241,-0.311,-0.179,-0.434,-0.048,-0.508,0.027,-0.448,-0.035,-0.579,0.097
1863,5,-0.322,-0.398,-0.272,-0.503,-0.142,-0.565,-0.08,-0.517,-0.133,-0.634,-0.015
1863,6,-0.403,-0.474,-0.337,-0.586,-0.22,-0.633,-0.173,-0.601,-0.211,-0.707,-0.104
1863,7,-0.422,-0.505,-0.357,-0.61,-0.234,-0.665,-0.18,-0.626,-0.225,-0.74,-0.11
1863,8,-0.316,-0.387,-0.255,-0.503,-0.13,-0.62,-0.012,-0.517,-0.122,-0.682,0.043
1863,9,-0.324,-0.398,-0.257,-0.508,-0.141,-0.644,-0.005,-0.521,-0.127,-0.699,0.052
1863,10,-0.385,-0.455,-0.327,-0.578,-0.191,-0.728,-0.042,-0.599,-0.186,-0.792,0.009
1863,11,-0.333,-0.404,-0.279,-0.533,-0.133,-0.684,0.017,-0.549,-0.127,-0.747,0.072
1863,12,-0.348,-0.436,-0.266,-0.54,-0.157,-0.764,0.068,-0.558,-0.143,-0.815,0.115
1864,1,-0.938,-1.007,-0.873,-1.132,-0.743,-1.466,-0.409,-1.147,-0.735,-1.508,-0.374
1864,2,-0.636,-0.709,-0.569,-0.83,-0.443,-1.163,-0.11,-0.849,-0.435,-1.208,-0.076
1864,3,-0.502,-0.586,-0.441,-0.697,-0.307,-0.875,-0.129,-0.712,-0.298,-0.932,-0.078
1864,4,-0.551,-0.619,-0.487,-0.744,-0.359,-0.789,-0.314,-0.755,-0.347,-0.864,-0.237
1864,5,-0.454,-0.543,-0.395,-0.642,-0.266,-0.711,-0.198,-0.657,-0.255,-0.782,-0.13
1864,6,-0.165,-0.24,-0.105,-0.346,0.015,-0.383,0.053,-0.36,0.023,-0.459,0.122
1864,7,-0.15,-0.23,-0.089,-0.328,0.027,-0.376,0.076,-0.344,0.036,-0.449,0.141
1864,8,-0.309,-0.391,-0.252,-0.484,-0.135,-0.595,-0.023,-0.5,-0.129,-0.655,0.027
1864,9,-0.448,-0.525,-0.386,-0.636,-0.26,-0.783,-0.113,-0.65,-0.25,-0.84,-0.06
1864,10,-0.705,-0.791,-0.645,-0.895,-0.516,-1.029,-0.382,-0.914,-0.509,-1.092,-0.329
1864,11,-0.472,-0.544,-0.416,-0.654,-0.29,-0.768,-0.176,-0.669,-0.282,-0.829,-0.122
1864,12,-0.615,-0.693,-0.54,-0.797,-0.433,-1.002,-0.227,-0.813,-0.421,-1.051,-0.182
1865,1,-0.099,-0.173,-0.031,-0.282,0.084,-0.638,0.44,-0.3,0.096,-0.676,0.472
1865,2,-0.611,-0.7,-0.54,-0.799,-0.424,-1.267,0.044,-0.82,-0.411,-1.302,0.072
